Player,DRtg,Season,ORtg,USG%,VORP,WS,PER,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Year,Pos,Cluster,Role
Dwight Buycks,109,2017-18,97.0,26.4,-0.2,0.2,12.8,28.0,DET,NBA,29.0,0.0,427.0,9.6,23.1,7.8,17.9,1.8,5.3,4.2,4.8,1.4,3.4,4.8,6.9,2.2,0.2,4.6,4.6,25.1,0.414,0.43799999999999994,0.33299999999999996,0.452,0.878,0.498,2017,PG,1,3&D
José Calderón,115,2017-18,122.0,11.6,0.0,1.8,11.3,36.0,CLE,NBA,57.0,32.0,914.0,5.0,9.9,2.6,4.7,2.4,5.2,1.3,1.6,0.8,3.8,4.5,6.3,1.4,0.1,2.2,4.3,13.7,0.503,0.545,0.46399999999999997,0.624,0.8,0.643,2017,PG,1,3&D
Kentavious Caldwell-Pope,108,2017-18,111.0,16.9,1.9,5.3,13.2,24.0,LAL,NBA,74.0,74.0,2458.0,6.6,15.5,3.5,7.5,3.1,8.1,3.0,3.8,1.2,6.4,7.5,3.2,2.1,0.3,1.9,2.8,19.3,0.426,0.473,0.38299999999999995,0.526,0.789,0.561,2017,SG,7,Elite Wing
Isaiah Canaan,114,2017-18,110.0,18.9,0.0,0.6,13.5,26.0,TOT,NBA,20.0,1.0,422.0,5.9,15.5,3.4,8.1,2.5,7.5,5.2,5.8,0.7,4.4,5.1,8.6,1.8,0.1,3.3,4.1,19.5,0.38,0.423,0.33299999999999996,0.46,0.902,0.539,2017,PG-SG,1,3&D
Isaiah Canaan,114,2017-18,110.0,18.9,0.0,0.6,13.5,26.0,TOT,NBA,20.0,1.0,422.0,5.9,15.5,3.4,8.1,2.5,7.5,5.2,5.8,0.7,4.4,5.1,8.6,1.8,0.1,3.3,4.1,19.5,0.38,0.423,0.33299999999999996,0.46,0.902,0.539,2017,SG,1,3&D
Isaiah Canaan,114,2017-18,110.0,18.9,0.0,0.6,13.5,26.0,TOT,NBA,20.0,1.0,422.0,5.9,15.5,3.4,8.1,2.5,7.5,5.2,5.8,0.7,4.4,5.1,8.6,1.8,0.1,3.3,4.1,19.5,0.38,0.423,0.33299999999999996,0.46,0.902,0.539,2017,PG,1,3&D
Clint Capela,101,2017-18,126.0,19.4,2.6,10.2,24.5,23.0,HOU,NBA,74.0,74.0,2034.0,10.7,16.4,10.7,16.3,0.0,0.0,3.5,6.2,5.8,13.6,19.4,1.6,1.4,3.3,2.5,4.5,24.8,0.652,0.653,0.0,0.652,0.56,0.65,2017,C,6,Star Inside Big
DeMarre Carroll,110,2017-18,109.0,19.8,1.2,4.1,14.3,31.0,BRK,NBA,73.0,73.0,2180.0,7.2,17.5,4.0,8.8,3.2,8.7,4.2,5.5,2.3,8.3,10.7,3.3,1.3,0.7,2.3,3.7,21.9,0.414,0.457,0.371,0.506,0.764,0.55,2017,PF,7,Elite Wing
Vince Carter,110,2017-18,103.0,14.7,0.2,1.2,10.8,41.0,SAC,NBA,58.0,5.0,1026.0,5.6,14.0,2.8,5.8,2.8,8.1,1.4,1.8,0.9,6.4,7.3,3.4,2.1,1.3,1.8,4.7,15.4,0.40299999999999997,0.483,0.345,0.504,0.757,0.523,2017,SF,1,3&D
Michael Carter-Williams,107,2017-18,98.0,16.6,0.3,0.9,10.8,26.0,CHO,NBA,52.0,2.0,835.0,4.4,13.4,3.6,9.9,0.8,3.4,4.3,5.2,2.2,5.9,8.1,6.8,2.6,1.3,3.0,5.8,14.0,0.332,0.365,0.237,0.36200000000000004,0.82,0.446,2017,PG,5,Perimeter Scorer
Alex Caruso,109,2017-18,98.0,12.9,-0.1,0.5,8.7,23.0,LAL,NBA,37.0,7.0,562.0,4.3,9.9,3.1,6.2,1.1,3.7,1.8,2.6,1.3,4.3,5.5,6.4,2.0,0.9,3.6,4.4,11.4,0.431,0.507,0.302,0.48700000000000004,0.7,0.519,2017,PG,5,Perimeter Scorer
Omri Casspi,106,2017-18,117.0,16.3,0.1,2.2,15.5,29.0,GSW,NBA,53.0,7.0,740.0,7.8,13.5,7.2,12.0,0.7,1.4,3.3,4.5,2.0,11.1,13.0,3.3,1.2,1.2,2.4,4.6,19.5,0.58,0.595,0.455,0.604,0.725,0.632,2017,SF,2,Do It All
Willie Cauley-Stein,108,2017-18,106.0,21.8,1.2,3.9,17.6,24.0,SAC,NBA,73.0,58.0,2044.0,9.6,19.1,9.5,18.8,0.1,0.3,3.8,6.1,3.2,9.4,12.6,4.3,1.9,1.7,2.7,4.6,23.1,0.502,0.506,0.25,0.504,0.619,0.529,2017,C,9,
Tyler Cavanaugh,112,2017-18,119.0,14.8,0.1,1.2,13.0,23.0,ATL,NBA,39.0,1.0,518.0,6.3,14.3,3.3,5.9,3.0,8.4,1.6,2.0,4.2,7.7,12.0,2.5,0.8,0.4,1.3,5.8,17.3,0.441,0.556,0.36,0.546,0.81,0.5670000000000001,2017,PF,1,3&D
Mario Chalmers,110,2017-18,96.0,19.6,-0.3,0.6,10.4,31.0,MEM,NBA,66.0,10.0,1421.0,6.0,15.8,4.1,9.0,1.9,6.8,4.2,4.9,0.5,5.1,5.6,7.0,2.8,0.5,4.2,6.4,18.0,0.379,0.456,0.27699999999999997,0.439,0.855,0.503,2017,PG,5,Perimeter Scorer
Tyson Chandler,111,2017-18,123.0,10.6,0.5,2.7,14.2,35.0,PHO,NBA,46.0,46.0,1151.0,5.0,7.8,5.0,7.8,0.0,0.0,2.4,3.9,5.6,11.8,17.4,2.2,0.7,1.1,2.5,4.4,12.5,0.647,0.647,0.0,0.647,0.624,0.6579999999999999,2017,C,3,Backup Inside Big
Wilson Chandler,113,2017-18,110.0,14.3,0.6,3.3,10.9,30.0,DEN,NBA,74.0,71.0,2346.0,5.9,13.3,4.1,8.1,1.9,5.2,1.9,2.4,2.2,6.3,8.4,3.4,0.9,0.8,1.9,3.3,15.6,0.445,0.501,0.358,0.515,0.772,0.542,2017,SF,1,3&D
Marquese Chriss,109,2017-18,95.0,18.1,0.0,0.7,11.1,20.0,PHO,NBA,72.0,49.0,1527.0,6.3,15.0,4.6,9.0,1.8,6.0,3.0,5.0,2.4,10.0,12.4,2.6,1.6,2.2,3.4,6.4,17.4,0.423,0.509,0.295,0.48200000000000004,0.608,0.509,2017,PF,1,3&D
Ian Clark,112,2017-18,102.0,17.2,-0.7,1.1,9.4,26.0,NOP,NBA,74.0,2.0,1455.0,7.3,16.2,5.2,9.8,2.0,6.4,1.5,1.9,0.3,3.8,4.2,3.6,1.1,0.3,1.9,3.9,18.1,0.44799999999999995,0.5329999999999999,0.318,0.511,0.763,0.529,2017,SG,5,Perimeter Scorer
Jordan Clarkson,112,2017-18,106.0,26.5,0.1,3.0,16.4,25.0,TOT,NBA,81.0,2.0,1888.0,11.0,24.4,8.1,16.2,2.9,8.1,3.9,4.9,1.5,4.1,5.5,5.6,1.5,0.2,3.2,2.7,28.7,0.451,0.5,0.35200000000000004,0.509,0.8,0.542,2017,SG,7,Elite Wing
Jordan Clarkson,112,2017-18,106.0,26.5,0.1,3.0,16.4,25.0,TOT,NBA,81.0,2.0,1888.0,11.0,24.4,8.1,16.2,2.9,8.1,3.9,4.9,1.5,4.1,5.5,5.6,1.5,0.2,3.2,2.7,28.7,0.451,0.5,0.35200000000000004,0.509,0.8,0.542,2017,SG,7,Elite Wing
Jordan Clarkson,112,2017-18,106.0,26.5,0.1,3.0,16.4,25.0,TOT,NBA,81.0,2.0,1888.0,11.0,24.4,8.1,16.2,2.9,8.1,3.9,4.9,1.5,4.1,5.5,5.6,1.5,0.2,3.2,2.7,28.7,0.451,0.5,0.35200000000000004,0.509,0.8,0.542,2017,SG,7,Elite Wing
John Collins,108,2017-18,117.0,17.9,1.7,5.4,18.3,20.0,ATL,NBA,74.0,26.0,1785.0,8.6,14.9,8.2,13.6,0.4,1.3,3.6,5.1,4.8,10.0,14.8,2.7,1.3,2.2,2.9,5.9,21.3,0.5760000000000001,0.598,0.34,0.591,0.715,0.62,2017,PF,8,All Star
Zach Collins,107,2017-18,93.0,15.4,-0.3,0.6,7.5,20.0,POR,NBA,66.0,1.0,1045.0,5.5,13.8,3.8,8.4,1.7,5.4,1.3,2.0,2.1,8.4,10.5,2.5,0.8,1.5,2.8,6.3,13.9,0.39799999999999996,0.455,0.31,0.45799999999999996,0.643,0.475,2017,C,5,Perimeter Scorer
Kyle Collinsworth,108,2017-18,98.0,13.3,0.0,0.5,10.0,26.0,DAL,NBA,32.0,2.0,480.0,4.0,10.4,3.6,8.6,0.4,1.8,2.2,4.2,3.3,7.8,11.2,5.9,1.8,0.9,2.5,4.6,10.6,0.384,0.415,0.235,0.40399999999999997,0.525,0.433,2017,SF,5,Perimeter Scorer
Darren Collison,110,2017-18,126.0,17.4,2.1,7.6,18.8,30.0,IND,NBA,69.0,64.0,2018.0,7.8,15.8,5.4,10.7,2.4,5.1,3.1,3.6,0.9,3.5,4.4,9.1,2.3,0.4,2.1,3.0,21.2,0.495,0.508,0.46799999999999997,0.5710000000000001,0.882,0.61,2017,PG,8,All Star
Pat Connaughton,110,2017-18,110.0,13.4,0.3,2.5,9.3,25.0,POR,NBA,82.0,5.0,1488.0,5.5,13.0,3.0,6.0,2.5,7.0,1.2,1.5,1.2,4.2,5.4,3.0,0.8,0.7,1.4,4.0,14.7,0.423,0.506,0.35200000000000004,0.518,0.841,0.539,2017,SG,1,3&D
Quinn Cook,113,2017-18,115.0,17.5,0.0,1.6,12.8,24.0,GSW,NBA,33.0,18.0,740.0,7.9,16.4,4.9,9.6,3.0,6.8,1.4,1.6,0.7,4.7,5.3,5.8,0.8,0.1,2.1,3.8,20.3,0.484,0.514,0.442,0.575,0.88,0.593,2017,PG,1,3&D
DeMarcus Cousins,102,2017-18,104.0,31.9,3.3,4.7,22.6,27.0,NOP,NBA,48.0,48.0,1737.0,11.2,23.7,8.3,15.7,2.9,8.1,8.1,10.8,2.9,14.1,17.0,7.1,2.2,2.1,6.7,5.0,33.3,0.47,0.53,0.354,0.53,0.746,0.583,2017,C,8,All Star
Robert Covington,103,2017-18,107.0,17.2,2.9,6.1,12.9,27.0,PHI,NBA,80.0,80.0,2532.0,6.6,15.9,2.7,5.4,3.9,10.4,2.2,2.6,1.0,7.2,8.2,3.0,2.6,1.4,2.4,4.5,19.2,0.413,0.4970000000000001,0.369,0.534,0.853,0.563,2017,SF,7,Elite Wing
Allen Crabbe,112,2017-18,108.0,19.0,0.7,3.2,12.3,25.0,BRK,NBA,75.0,68.0,2197.0,7.4,18.3,3.0,6.5,4.4,11.8,2.5,3.0,0.6,6.5,7.2,2.6,1.0,0.8,1.7,3.7,21.9,0.40700000000000003,0.461,0.37799999999999995,0.529,0.852,0.5579999999999999,2017,SG,7,Elite Wing
Torrey Craig,112,2017-18,111.0,11.9,-0.1,0.9,9.8,27.0,DEN,NBA,39.0,5.0,629.0,4.9,10.8,3.5,6.2,1.3,4.6,1.7,2.8,3.2,6.9,10.0,2.0,0.9,1.2,1.6,5.0,12.8,0.45299999999999996,0.57,0.293,0.515,0.629,0.535,2017,SF,5,Perimeter Scorer
Jamal Crawford,116,2017-18,104.0,23.7,-0.8,1.3,13.0,37.0,MIN,NBA,80.0,0.0,1653.0,9.3,22.4,6.2,12.9,3.1,9.5,3.1,3.4,0.6,2.4,3.0,5.6,1.2,0.3,2.9,2.6,24.9,0.415,0.47700000000000004,0.331,0.485,0.903,0.519,2017,SG,1,3&D
Jae Crowder,111,2017-18,105.0,17.3,0.1,2.6,10.4,27.0,TOT,NBA,80.0,47.0,2090.0,6.4,15.9,3.8,7.8,2.6,8.1,2.9,3.5,1.4,5.1,6.5,2.3,1.5,0.5,1.7,4.4,18.3,0.40399999999999997,0.488,0.32299999999999995,0.486,0.818,0.525,2017,SF,1,3&D
Jae Crowder,111,2017-18,105.0,17.3,0.1,2.6,10.4,27.0,TOT,NBA,80.0,47.0,2090.0,6.4,15.9,3.8,7.8,2.6,8.1,2.9,3.5,1.4,5.1,6.5,2.3,1.5,0.5,1.7,4.4,18.3,0.40399999999999997,0.488,0.32299999999999995,0.486,0.818,0.525,2017,SF,1,3&D
Jae Crowder,111,2017-18,105.0,17.3,0.1,2.6,10.4,27.0,TOT,NBA,80.0,47.0,2090.0,6.4,15.9,3.8,7.8,2.6,8.1,2.9,3.5,1.4,5.1,6.5,2.3,1.5,0.5,1.7,4.4,18.3,0.40399999999999997,0.488,0.32299999999999995,0.486,0.818,0.525,2017,SF,1,3&D
Dante Cunningham,110,2017-18,110.0,11.6,0.2,2.4,10.0,30.0,TOT,NBA,73.0,25.0,1562.0,5.0,11.2,3.3,6.0,1.8,5.2,1.0,1.6,2.4,6.8,9.2,1.5,1.2,0.9,1.0,3.4,12.8,0.451,0.541,0.345,0.53,0.596,0.539,2017,SF,1,3&D
Dante Cunningham,110,2017-18,110.0,11.6,0.2,2.4,10.0,30.0,TOT,NBA,73.0,25.0,1562.0,5.0,11.2,3.3,6.0,1.8,5.2,1.0,1.6,2.4,6.8,9.2,1.5,1.2,0.9,1.0,3.4,12.8,0.451,0.541,0.345,0.53,0.596,0.539,2017,SF,1,3&D
Dante Cunningham,110,2017-18,110.0,11.6,0.2,2.4,10.0,30.0,TOT,NBA,73.0,25.0,1562.0,5.0,11.2,3.3,6.0,1.8,5.2,1.0,1.6,2.4,6.8,9.2,1.5,1.2,0.9,1.0,3.4,12.8,0.451,0.541,0.345,0.53,0.596,0.539,2017,SF,1,3&D
Stephen Curry,108,2017-18,125.0,31.0,4.4,9.1,28.2,29.0,GSW,NBA,51.0,51.0,1631.0,12.6,25.5,6.4,10.7,6.3,14.8,8.2,8.9,1.1,6.6,7.7,9.2,2.4,0.2,4.5,3.4,39.8,0.495,0.595,0.423,0.618,0.9209999999999999,0.675,2017,PG,4,Superstar
Troy Daniels,117,2017-18,109.0,17.2,-0.4,1.4,9.8,26.0,PHO,NBA,79.0,15.0,1622.0,6.8,17.0,1.4,3.5,5.4,13.5,1.7,1.9,0.4,3.4,3.7,1.4,0.8,0.1,1.7,4.0,20.7,0.40299999999999997,0.419,0.4,0.563,0.875,0.583,2017,SG,1,3&D
Anthony Davis,102,2017-18,119.0,30.0,4.9,13.7,28.9,24.0,NOP,NBA,75.0,75.0,2727.0,13.7,25.6,12.7,22.8,1.0,2.8,8.7,10.5,3.3,11.3,14.6,3.0,2.0,3.4,2.8,2.8,36.9,0.534,0.5579999999999999,0.34,0.552,0.828,0.612,2017,PF,4,Superstar
Deyonta Davis,110,2017-18,122.0,15.3,0.3,2.7,16.6,21.0,MEM,NBA,62.0,6.0,943.0,8.6,14.2,8.6,14.2,0.0,0.0,2.0,3.1,4.0,9.4,13.4,2.1,0.8,2.1,1.7,6.7,19.3,0.608,0.608,0.0,0.608,0.667,0.621,2017,C,9,
Ed Davis,103,2017-18,121.0,12.1,0.7,5.0,15.5,28.0,POR,NBA,78.0,0.0,1471.0,5.7,9.9,5.7,9.8,0.0,0.0,2.5,3.8,6.2,13.3,19.4,1.4,1.1,1.8,2.2,6.4,14.0,0.5820000000000001,0.584,0.0,0.5820000000000001,0.667,0.607,2017,C,9,
Dewayne Dedmon,107,2017-18,111.0,17.0,1.0,3.7,15.8,28.0,ATL,NBA,62.0,46.0,1542.0,7.9,15.1,6.3,10.6,1.6,4.5,2.1,2.7,3.2,12.3,15.5,2.9,1.3,1.6,2.7,5.1,19.5,0.524,0.595,0.355,0.5770000000000001,0.779,0.599,2017,C,2,Do It All
Sam Dekker,111,2017-18,107.0,15.5,-0.2,1.2,11.5,23.0,LAC,NBA,73.0,1.0,883.0,7.0,14.3,6.5,11.0,0.6,3.3,2.0,3.1,2.4,7.2,9.6,2.1,1.3,0.5,1.8,3.9,16.7,0.494,0.593,0.16699999999999998,0.514,0.6609999999999999,0.534,2017,PF,3,Backup Inside Big
Malcolm Delaney,113,2017-18,104.0,16.9,-0.4,1.0,10.6,28.0,ATL,NBA,54.0,3.0,1014.0,5.3,13.7,3.0,7.8,2.2,6.0,3.6,4.4,0.4,4.4,4.8,7.9,1.7,0.3,3.2,4.0,16.3,0.382,0.391,0.371,0.46299999999999997,0.804,0.519,2017,PG,1,3&D
Matthew Dellavedova,115,2017-18,104.0,13.5,-0.7,0.5,8.6,27.0,MIL,NBA,38.0,3.0,712.0,3.9,10.6,1.8,5.2,2.0,5.5,1.8,1.9,1.0,3.5,4.5,10.2,1.0,0.0,3.4,4.7,11.5,0.36200000000000004,0.35100000000000003,0.3720000000000001,0.457,0.9259999999999999,0.5,2017,PG,5,Perimeter Scorer
DeMar DeRozan,109,2017-18,114.0,29.6,2.6,9.6,21.0,28.0,TOR,NBA,80.0,80.0,2711.0,11.7,25.7,10.1,20.5,1.6,5.2,8.4,10.2,1.1,4.7,5.7,7.6,1.5,0.4,3.2,2.7,33.5,0.456,0.494,0.31,0.488,0.825,0.555,2017,SG,8,All Star
Cheick Diallo,105,2017-18,118.0,17.4,-0.2,1.9,17.0,21.0,NOP,NBA,52.0,0.0,581.0,8.4,14.5,8.4,14.5,0.0,0.0,4.1,5.4,3.9,13.5,17.3,1.6,0.9,1.7,2.3,6.7,20.9,0.58,0.58,0.0,0.58,0.758,0.619,2017,PF,9,
Gorgui Dieng,109,2017-18,112.0,16.3,0.5,2.9,14.7,28.0,MIN,NBA,79.0,0.0,1333.0,7.0,14.6,6.3,12.3,0.7,2.3,3.0,3.8,4.0,9.5,13.5,2.7,1.7,1.5,2.2,5.5,17.6,0.479,0.511,0.311,0.504,0.775,0.5429999999999999,2017,C,2,Do It All
Spencer Dinwiddie,112,2017-18,114.0,20.3,1.3,5.7,15.9,24.0,BRK,NBA,80.0,58.0,2306.0,6.8,17.6,3.9,8.5,3.0,9.1,4.6,5.6,0.8,4.6,5.5,11.0,1.4,0.5,2.7,3.9,21.2,0.387,0.452,0.326,0.47100000000000003,0.813,0.527,2017,PG,8,All Star
Tyler Dorsey,114,2017-18,100.0,20.0,-0.6,0.4,10.0,21.0,ATL,NBA,56.0,5.0,974.0,7.2,19.2,3.6,9.2,3.6,10.0,2.3,3.2,0.9,5.7,6.5,4.0,0.9,0.3,1.9,3.2,20.3,0.377,0.39299999999999996,0.36200000000000004,0.47100000000000003,0.7140000000000001,0.494,2017,SG,1,3&D
Damyean Dotson,112,2017-18,106.0,17.3,-0.1,0.6,11.6,23.0,NYK,NBA,44.0,2.0,474.0,7.5,16.8,5.2,9.7,2.3,7.1,1.7,2.4,0.9,7.8,8.8,3.2,1.3,0.2,1.8,3.6,19.0,0.447,0.5379999999999999,0.324,0.516,0.696,0.532,2017,SG,1,3&D
Goran Dragić,109,2017-18,108.0,25.7,1.2,5.3,16.6,31.0,MIA,NBA,75.0,75.0,2378.0,10.2,22.7,7.9,16.4,2.3,6.3,4.6,5.7,1.1,5.3,6.5,7.6,1.3,0.3,3.5,3.8,27.4,0.45,0.48100000000000004,0.37,0.502,0.8009999999999999,0.5429999999999999,2017,PG,8,All Star
Andre Drummond,99,2017-18,113.0,21.2,5.0,10.3,22.9,24.0,DET,NBA,78.0,78.0,2625.0,8.9,16.7,8.9,16.5,0.0,0.2,4.5,7.5,7.6,16.1,23.7,4.5,2.2,2.4,3.8,4.8,22.3,0.529,0.536,0.0,0.529,0.605,0.555,2017,C,6,Star Inside Big
Jared Dudley,113,2017-18,110.0,10.2,0.0,0.8,8.8,32.0,PHO,NBA,48.0,0.0,686.0,3.3,8.5,1.3,2.9,2.0,5.6,1.9,2.4,0.6,6.0,6.6,5.4,1.7,0.8,2.0,5.9,10.6,0.39299999999999996,0.452,0.363,0.512,0.7709999999999999,0.5529999999999999,2017,PF,5,Perimeter Scorer
Kris Dunn,107,2017-18,96.0,24.7,0.7,0.9,14.5,23.0,CHI,NBA,52.0,43.0,1525.0,9.2,21.3,7.8,17.0,1.4,4.3,2.7,3.6,0.8,6.3,7.1,9.9,3.3,0.9,4.8,5.6,22.4,0.429,0.457,0.321,0.462,0.737,0.488,2017,PG,2,Do It All
Kevin Durant,107,2017-18,119.0,30.4,4.5,10.4,26.0,29.0,GSW,NBA,68.0,68.0,2325.0,13.1,25.3,9.5,16.8,3.6,8.6,7.4,8.4,0.6,9.0,9.6,7.6,1.0,2.5,4.3,2.8,37.1,0.516,0.565,0.419,0.586,0.889,0.64,2017,SF,4,Superstar
Wayne Ellington,110,2017-18,113.0,17.3,1.0,4.5,12.5,30.0,MIA,NBA,77.0,2.0,2041.0,7.0,17.2,1.4,3.0,5.6,14.2,1.6,1.9,0.6,4.8,5.4,1.9,1.3,0.2,1.3,2.3,21.3,0.40700000000000003,0.479,0.392,0.569,0.8590000000000001,0.588,2017,SG,7,Elite Wing
Joel Embiid,100,2017-18,106.0,33.4,2.2,6.2,22.9,23.0,PHI,NBA,63.0,63.0,1912.0,12.8,26.6,11.2,21.2,1.7,5.4,9.0,11.7,3.6,13.8,17.4,5.0,1.0,2.8,5.9,5.3,36.3,0.483,0.527,0.308,0.514,0.769,0.573,2017,C,8,All Star
James Ennis,112,2017-18,115.0,13.7,0.4,3.1,11.6,27.0,TOT,NBA,72.0,22.0,1604.0,5.7,12.0,4.1,7.2,1.6,4.8,3.0,3.6,2.3,4.7,7.0,2.2,1.5,0.6,1.8,4.2,16.1,0.474,0.5670000000000001,0.33299999999999996,0.54,0.836,0.588,2017,SF,1,3&D
James Ennis,112,2017-18,115.0,13.7,0.4,3.1,11.6,27.0,TOT,NBA,72.0,22.0,1604.0,5.7,12.0,4.1,7.2,1.6,4.8,3.0,3.6,2.3,4.7,7.0,2.2,1.5,0.6,1.8,4.2,16.1,0.474,0.5670000000000001,0.33299999999999996,0.54,0.836,0.588,2017,SF,1,3&D
James Ennis,112,2017-18,115.0,13.7,0.4,3.1,11.6,27.0,TOT,NBA,72.0,22.0,1604.0,5.7,12.0,4.1,7.2,1.6,4.8,3.0,3.6,2.3,4.7,7.0,2.2,1.5,0.6,1.8,4.2,16.1,0.474,0.5670000000000001,0.33299999999999996,0.54,0.836,0.588,2017,SF,1,3&D
Tyler Ennis,108,2017-18,101.0,17.1,-0.1,0.8,11.1,23.0,LAL,NBA,54.0,11.0,683.0,6.6,15.7,5.6,11.8,1.0,3.9,1.5,2.0,1.3,5.3,6.7,7.4,2.1,0.7,2.7,5.3,15.7,0.42,0.47600000000000003,0.25,0.451,0.759,0.473,2017,PG,5,Perimeter Scorer
Jawun Evans,111,2017-18,90.0,17.7,-0.5,-0.2,7.2,21.0,LAC,NBA,48.0,4.0,778.0,5.6,15.8,4.6,12.4,0.9,3.4,2.4,3.1,0.6,4.7,5.3,6.3,2.3,0.4,2.8,6.1,14.4,0.35200000000000004,0.3720000000000001,0.278,0.381,0.7759999999999999,0.42100000000000004,2017,PG,5,Perimeter Scorer
Tyreke Evans,111,2017-18,111.0,28.4,2.3,4.2,21.1,28.0,MEM,NBA,52.0,32.0,1607.0,11.5,25.5,7.9,16.5,3.6,9.0,5.2,6.6,1.4,7.0,8.3,8.5,1.8,0.5,3.7,3.0,31.8,0.452,0.48200000000000004,0.39899999999999997,0.523,0.785,0.561,2017,PG,8,All Star
Kenneth Faried,110,2017-18,116.0,18.3,0.0,1.3,17.4,28.0,DEN,NBA,32.0,7.0,461.0,8.2,15.9,8.2,15.8,0.0,0.1,3.9,5.5,7.3,9.1,16.5,1.9,1.3,1.4,2.5,5.5,20.2,0.514,0.517,0.0,0.514,0.706,0.552,2017,PF,9,
Derrick Favors,104,2017-18,119.0,18.5,2.5,8.0,18.8,26.0,UTA,NBA,77.0,77.0,2153.0,9.2,16.4,8.9,14.9,0.3,1.5,3.3,5.0,4.6,8.2,12.9,2.4,1.3,1.9,2.0,3.8,22.0,0.563,0.596,0.222,0.573,0.6509999999999999,0.593,2017,C,6,Star Inside Big
Cristiano Felício,113,2017-18,114.0,13.6,-0.1,1.7,12.5,25.0,CHI,NBA,55.0,16.0,977.0,6.3,10.7,6.3,10.6,0.0,0.1,2.7,4.0,4.1,7.5,11.6,2.7,0.8,0.5,2.7,5.2,15.4,0.591,0.596,0.0,0.591,0.667,0.614,2017,C,3,Backup Inside Big
Raymond Felton,109,2017-18,105.0,20.4,-0.3,2.2,13.0,33.0,OKC,NBA,82.0,2.0,1365.0,8.1,20.1,5.2,11.7,2.9,8.4,1.3,1.6,0.9,4.8,5.7,7.4,1.8,0.6,2.8,3.3,20.5,0.406,0.444,0.35200000000000004,0.479,0.818,0.494,2017,PG,1,3&D
Terrance Ferguson,111,2017-18,115.0,10.4,-0.1,1.2,7.4,19.0,OKC,NBA,61.0,12.0,763.0,4.6,11.0,2.0,3.2,2.6,7.8,0.6,0.7,1.2,1.8,3.1,1.2,1.6,0.7,0.7,5.4,12.3,0.414,0.612,0.33299999999999996,0.5329999999999999,0.9,0.545,2017,SG,5,Perimeter Scorer
Yogi Ferrell,112,2017-18,107.0,17.0,0.6,3.0,11.4,24.0,DAL,NBA,82.0,21.0,2282.0,6.8,16.1,3.9,8.2,2.9,7.9,1.8,2.3,0.6,4.9,5.5,4.4,1.4,0.2,1.7,3.4,18.4,0.426,0.47700000000000004,0.373,0.518,0.7959999999999999,0.54,2017,SG,1,3&D
Dorian Finney-Smith,111,2017-18,96.0,15.1,-0.1,0.1,7.6,24.0,DAL,NBA,21.0,13.0,448.0,5.2,13.6,2.9,6.1,2.2,7.5,1.2,1.7,2.5,5.9,8.4,2.9,1.1,0.4,2.4,4.8,13.8,0.38,0.48100000000000004,0.299,0.46299999999999997,0.733,0.48200000000000004,2017,PF,5,Perimeter Scorer
Bryn Forbes,110,2017-18,106.0,16.7,-0.4,2.1,9.1,24.0,SAS,NBA,80.0,12.0,1517.0,7.0,16.6,4.0,9.0,3.0,7.6,1.6,2.4,0.4,3.3,3.7,2.7,0.9,0.1,1.2,3.6,18.5,0.42100000000000004,0.446,0.39,0.51,0.667,0.525,2017,SG,1,3&D
Evan Fournier,113,2017-18,110.0,23.3,0.7,3.3,15.5,25.0,ORL,NBA,57.0,57.0,1837.0,9.8,21.4,6.4,12.4,3.4,8.9,4.0,4.6,0.6,4.2,4.8,4.4,1.3,0.4,2.5,3.7,27.0,0.45899999999999996,0.516,0.379,0.5379999999999999,0.867,0.5770000000000001,2017,SF,7,Elite Wing
De'Aaron Fox,113,2017-18,94.0,23.4,-1.2,-0.6,11.2,20.0,SAC,NBA,73.0,60.0,2026.0,8.2,19.9,7.0,16.1,1.2,3.8,3.5,4.9,0.8,4.3,5.1,8.0,1.7,0.5,4.3,4.1,21.1,0.41200000000000003,0.436,0.307,0.441,0.723,0.478,2017,PG,5,Perimeter Scorer
Tim Frazier,107,2017-18,105.0,12.8,0.0,1.4,11.3,27.0,WAS,NBA,59.0,11.0,838.0,4.0,10.2,3.0,6.9,1.0,3.3,1.4,1.8,1.1,5.7,6.8,11.5,2.8,0.4,3.4,5.7,10.4,0.395,0.44,0.304,0.445,0.767,0.475,2017,PG,1,3&D
Channing Frye,111,2017-18,115.0,15.2,0.1,1.5,13.1,34.0,TOT,NBA,53.0,1.0,695.0,7.3,14.9,4.6,6.8,2.7,8.1,1.2,1.3,0.8,8.6,9.5,2.7,1.3,0.9,1.5,4.8,18.5,0.491,0.67,0.33899999999999997,0.583,0.895,0.599,2017,C,1,3&D
Channing Frye,111,2017-18,115.0,15.2,0.1,1.5,13.1,34.0,TOT,NBA,53.0,1.0,695.0,7.3,14.9,4.6,6.8,2.7,8.1,1.2,1.3,0.8,8.6,9.5,2.7,1.3,0.9,1.5,4.8,18.5,0.491,0.67,0.33899999999999997,0.583,0.895,0.599,2017,C,1,3&D
